Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Admission status,Closed
19207,Chemamul Dispensary (Tinderet),Chemamul Dispensary (Tinderet),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nandi,Tinderet,Tinderet,Tinderet,Operational,None,No
19206,North Star Alliance Wellness Centre,North Star Alliance Wellness Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Ainabkoi/Olare,Operational,None,No
19205,Gynocare Centre Maternity Home,Gynocare Centre Maternity Home,None,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,20,4,Uasin Gishu,Moiben,Moiben,Kimumu,Operational,None,No
19203,Samaad Hospital,Samaad Hospital,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,3,Wajir,Wajir East,Wajir East,Barwago,Operational,None,No
19202,Sawa Makutano Medical Clinic,Sawa Makutano Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Machakos,Yatta,Yatta,Ikombe,Operational,None,No
19201,Sawa Ikombe Medical Clinic,Sawa Ikombe Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Machakos,Yatta,Yatta,Ikombe,Operational,None,No
19200,Comet Medical Clinic,Comet Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kiambu,Thika Town,Thika Town,Ngoliba,Closed,None,Yes
19197,Highway Medical Clinic Yatta,Highway Medical Clinic Yatta,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kiambu,Thika Town,Thika Town,Ngoliba,Operational,None,No
19196,Katangi Medical Clinic,Katangi Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Machakos,Yatta,Yatta,Katangi,Operational,None,No
19195,Kyandu Medical Clinic,Kyandu Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Machakos,Kangundo,Kangundo,Kangundo West,Closed,None,Yes
19194,St Michael Medical Clinic -Kangundo,St Michael Medical Clinic- Kangundo,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Machakos,Kangundo,Kangundo,Kangundo Central,Operational,None,No
19193,Imani Medical Clinic Yatta,Imani Medical Clinic (Yatta),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),1,1,Machakos,Yatta,Yatta,Ikombe,Operational,None,No
19192,Laare Maternity,The Laare Marternity and Nursing Home,None,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),14,14,Meru,Igembe North,Igembe North,Ntunene,Operational,None,No
19191,Nyota Njema Medical Clinic,Nyota Njema Medical clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Igembe North,Igembe North,Antubetwe Kiongo,Operational,None,No
19190,Mwanainchi Medical Clinic,Mwanainchi Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),2,2,Machakos,Yatta,Yatta,Matuu,Operational,None,No
19189,Kamkomani Dispensary,Kamkomani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,Kilifi,Kaloleni,Kaloleni,Mariakani,Operational,None,No
19188,Machungulu Dispensary,Machungulu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Igembe Central,Igembe Central,Akirang'ondu,Operational,None,No
19187,Mcf Ndalani,MCF Ndalani,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Machakos,Yatta,Yatta,Ndalani,Operational,None,No
19186,Nkirina Medical Clinic,Nkirina Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Igembe North,Igembe North,Ntunene,Operational,None,No
19185,Athirunjine Runjine Dispensary,Athirunjine Runjine Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Igembe Central,Igembe Central,Athiru Ruujine,Operational,None,No
19182,MCF Yatta,MCF Yatta,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Machakos,Yatta,Yatta,Kithimani,Operational,None,No
19180,Lanet Kiondoo Medical Clinic,Lanet Kiondoo Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nakuru,Nakuru Town East,Nakuru East,Nakuru East,Operational,None,No
19179,Mercy Medical Clinic (Ntunene),Mercy Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Igembe North,Igembe North,Ntunene,Operational,None,No
19177,Dr Thuo's Clinic Kitengela,Dr. Thuo's Clinic Kitengela,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,None,No
19176,Meds Pharmaciticals Ongata Rongai,Meds Pharmaciticals Ongata Rongai,None,Level 2,Pharmacy,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Closed,None,No
19173,Fountain Healthcare,Fountain Healthcare,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,None,No
19171,Prestige Clinic,Prestige Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19169,Choice Health Care,Choice Health Care,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Garissa,Garissa Township,Garissa,Galbet,Operational,None,No
19168,Bulla Medina Clinic,Bulla Medina Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Garissa,Garissa Township,Garissa,Galbet,Operational,None,No
19167,Bismillahi Medical Clinic (Garissa),Bismillahi Medical Clinic (Garissa),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Garissa,Garissa Township,Garissa,Township,Operational,None,No
19166,Better Medical Clinic (Township),Better Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Garissa,Garissa Township,Garissa,Township,Operational,None,No
19165,Al Qudus Clinic,Al Qudus Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Garissa,Garissa Township,Garissa,Galbet,Operational,None,No
19162,Afwene Clinic,Afwene Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Garissa,Garissa Township,Garissa,Galbet,Operational,None,No
19159,Uzima Medical Clinic (Chuka),Uzima Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Tharaka Nithi,Chuka/Igambang'ombe,Chuka,Karingani,Operational,None,No
19158,New Southlands X-Ray Services,New Southlands X-Ray Services,None,Level 2,Radiology Clinic,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19157,Kapsongoi Dispensary,Kapsongoi Dispensary,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Kericho,Belgut,Belgut,Chaik,Operational,None,No
19155,Chebon Medical Clinic,Chebon Medical Clinic,015041,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Bungoma,Mt. Elgon,Mt Elgon,Elgon,Operational,None,No
19150,Konton Dispensary,Konton Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,2,Wajir,Wajir East,Wajir East,Khorof/Harar,Operational,None,No
19148,Kathungi Dispensary,Kathungi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui Central,Kitui Central,Mulango,Operational,None,No
19147,Mangina Dispensary,Mangina Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui Central,Kitui Central,Kyangwithya West,Operational,None,No
19146,Thamare Dispensary,Thamare Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Igembe Central,Igembe Central,Njia,Operational,None,No
19145,Kitundu Dispensary (Kitui Central),Kitundu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui Central,Kitui Central,Mulango,Operational,None,No
19144,Boarder Medical Clinic Namanga,Boarder Medical Clinic Namanga,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado Central,Kajiado Central,Matapato South,Closed,None,Yes
19143,Kirimampio Dispensary,Kirimampio Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Igembe South,Igembe South,Athiru Gaiti,Operational,None,No
19141,Thuuru Dispensary,Thuuru Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Igembe Central,Igembe Central,Njia,Operational,None,No
19140,Uzima Medical Clinic (Meru),Uzima Medical Clinic (Meru),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19139,Mai Mahiu Maternity and Hospital,Mai Mahiu Maternity and Hospital,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,9,5,Nakuru,Naivasha,Naivasha,Mai Mahiu,Operational,None,No
19138,Tumaini Medical Clinic (Tezo),Tumaini Medical Clinic (Tezo),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kilifi,Kilifi North,Kilifi North,Tezo,Operational,None,No
19137,Family Care Doctor's Plaza,Family Care Doctor's Plaza,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19136,Dom Spark,Diocese of Meru SPARK,None,Level 3,Basic Health Centre,HEALTH CENTRE,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19135,Meru Hospice,Meru Hospice,None,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19134,Kibirichia Health & Laboratory Services,Kibirichia Health & Laboratory Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri East,Kibirichia,Operational,None,No
19133,Twins Bell,Twins Bell,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri East,Kibirichia,Operational,None,No
19132,Neema Afya Centre,Neema Afya Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri East,Kibirichia,Operational,None,No
19131,Afya Medical Laboratory,Afya Medical Laboratory,None,Level 2,Laboratory,STAND ALONE,Private Practice Lab Technician/Technologist,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Meru,Buuri,Buuri East,Kiirua/Naari,Operational,None,No
19130,Sr Rhoda Medical Clinic,Sr Rhoda Medical Clinic,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Meru,Buuri,Buuri West,Timau,Operational,None,No
19129,Ruiri MCK Medical Centre,Ruiri MCK Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Meru,Buuri,Buuri East,Ruiru/Rwawera,Operational,None,No
19128,Hope Medical Laboratory (Ruiru/rwawera),Hope Medical Laboratory,None,Level 2,Laboratory,STAND ALONE,Private Practice Lab Technician/Technologist,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Meru,Buuri,Buuri East,Ruiru/Rwawera,Operational,None,No
19127,Timau Dental Clinic,Timau Dental Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,Buuri,Buuri East,Ruiru/Rwawera,Operational,None,No
19126,Tropical Medical Centre,Tropical Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri West,Timau,Operational,None,No
19125,Batian Flowers Clinic,Batian Flowers Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri West,Timau,Operational,None,No
19124,Gatune Clinic,Gatune Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Central Imenti,Imenti Central,Abothuguchi Central,Closed,None,Yes
19123,Northstar Alliance Wellness Centre (Mai Mahiu),Northstar Alliance Wellness Centre (Mai Mahiu),None,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nakuru,Naivasha,Naivasha,Mai Mahiu,Operational,None,No
19122,Gundua Health Centre,Gundua Health Centre,None,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Buuri,Buuri West,Kisima,Operational,None,No
19121,St James Clinic,St. James Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kitui,Kitui East,Kitui East,Nzambani,Non-Operational,None,No
19120,Glory Medical Clinic (Kitui Central),Glory Medical Clinic(Kitui Central),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kitui,Kitui Central,Kitui Central,Township,Closed,None,No
19119,Nehema Medical Clinic Kathiani,Nehema Medical Clinic Kathiani,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Machakos,Kathiani,Kathiani,Kathiani Central,Closed,None,Yes
19118,Nazarene Medical Clinic (Kitui West),Nazarene Medical Clinic (Kitui West),None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Kitui,Kitui West,Kitui West,Mutongoni,Operational,None,No
19117,kakongo dispensary-Mwingi West,Kakongo Dispensary-Mwingi West,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Mwingi West,Mwingi West,Kiomo/Kyethani,Operational,None,No
19116,Lemoru Trinity,Lemoru Trinity,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Uasin Gishu,Soy,Soy,Ziwa,Operational,None,No
19115,Sala Health center,Sala Health Center,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Mandera,Lafey,Lafey,Libehia,Operational,None,No
19114,Hope World Wide,Hope World Wide,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Kericho,Ainamoi,Ainamoi,Kapsaos,Operational,None,No
19113,Meru Funeral Home,Meru Funeral Home,None,Level 2,Farewell Home,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Ntima West,Operational,None,No
19112,Heshima Medical Clinic(Masinga),Heshima Medical Clinic (Masinga),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,2,Machakos,Masinga,Masinga,Masinga Central,Closed,None,Yes
19111,Precious Life Health Services,Precious Life Health Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,Igembe South,Igembe South,Maua,Operational,None,No
19110,Kiatineni Dispensary,Kiatineni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,Machakos,Masinga,Masinga,Ndithini,Operational,None,No
19108,Imbirikani Dispensary,Imbirikani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Kajiado,Kajiado South,Loitokitok,Imbrikani/Eselelnkei,Operational,None,No
19107,Makongoni Dispensary,Makongoni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui South,Kitui South,Mutomo,Operational,None,No
19106,Royal Medical Clinic (Meru),Royal Medical Clinic (Meru),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,North Imenti,Imenti North,Municipality,Closed,None,Yes
19105,Dental Clinic Dr Mwiti Jm,Dental Clinic Dr. Mwiti JM,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19104,Prime Dental Clinic,Prime Dental Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Ntima West,Operational,None,No
19103,Minoptic Eye Clinic,Minoptic Eye Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19102,Meru Gynecologist Centre,Meru Gynecologist Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
19101,The Nairobi Hospital Out-Patient Centre Galeria,The Nairobi Hospital Out-patient Centre Galeria,None,Level 3,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,None,No
19098,Qarsadamu Dispensary,Qarsadamu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Mandera,Mandera South,Mandera South,Shimbir Fatuma,Operational,None,No
19097,KHE Farm Dispensary,KHE Farm Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Laikipia,Laikipia North,Laikipia North,Segera,Operational,None,No
19096,St Annes Medical Clinic (Ongata Rongai),St. Annes Medical Clinic (Ongata Rongai),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kajiado,Kajiado North,Kajiado North,Olkeri,Operational,None,No
19095,Dr Ndanya Medical Clinic,Dr Ndanya Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Laikipia,Laikipia East,Laikipia East,Nanyuki,Operational,None,No
19092,Tumaini Clinic Voi,Tumaini Clinic VOI,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Taita Taveta,Voi,Voi,Kaloleni,Operational,None,No
19091,Ongata Rongai X-Ray Services,Ongata Rongai X-Ray Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Closed,None,No
19090,Voi Medical Clinix,VOI Medical  Clinix,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Taita Taveta,Voi,Voi,Kaloleni,Operational,None,No
19089,Voi Dental,VOI Dental Clinix,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Taita Taveta,Voi,Voi,Kaloleni,Operational,None,No
19088,Bahati Medical Clinic (West Pokot),Bahati Medical Clinic (West Pokot),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,West Pokot,Kapenguria,West Pokot,Mnagei,Non-Operational,None,No
19087,Lilyon Clinical Services,Lilyon Clinical Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,West Pokot,Kapenguria,West Pokot,Mnagei,Closed,None,Yes
19085,Sere Clinic,Sere Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Taita Taveta,Wundanyi,Wundanyi,Wundanyi/Mbale,Operational,None,No
19083,Avenue Health Care Ongata Rongai,Avenue Health Care Ongata Rongai,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Operational,Not Admitting Patients,No
19079,Garlands Medical Clinic,Garlands  Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Nkaimurunya,Non-Operational,None,No
19077,New Age VCT,New Age VCT,None,Level 2,VCT,STAND ALONE,Private Practice - Private Institution Academic,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Mombasa,Likoni,Likoni,Timbwani,Operational,None,No
19076,Kawongo Medical Centre,Kawongo Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta,Non-Operational,None,No
19075,Amani Medical Clinic (Meru),Amani Medical Clinic (Meru),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,North Imenti,Imenti North,Ntima East,Operational,None,No
19074,District Public Health Office (Meru),District Public Health Office (Meru),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,North Imenti,Imenti North,Municipality,Closed,None,No
19073,Meru Cytology Centre,Meru Cytology Center,None,Level 2,Laboratory,STAND ALONE,Private Practice - Medical Specialist,Private Practice,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Meru,North Imenti,Imenti North,Ntima West,Operational,None,No
19072,CCM Kaare,CCM Kaare,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Tharaka Nithi,Maara,Mwimbi,Mwimbi,Operational,None,No
19071,Clinix Health Care Limited (Meru),Clinix (Meru),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Ntima East,Operational,None,No
19069,Tudor Healthcare Services (Mikindani),Tudor Healthcare Services (Mikindani),003232,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Mombasa,Jomvu,Jomvu,Mikindani,Operational,None,No
19068,Dalsan Medical Clinic,Dalsan Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Trans Nzoia,Cherangany,Cherangany,Makutano,Operational,None,No
19067,Word of Faith Church Dispensary,Word of Faith Church Dispensary,None,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Mombasa,Jomvu,Jomvu,Jomvu Kuu,Operational,None,No
19066,The Nyali Childrens Hospital (Mikindani),The Nyali Childrens Hospital (Mikindani),None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,8,2,Mombasa,Jomvu,Jomvu,Mikindani,Closed,None,Yes
19065,Nyali Childrens Hospital,Nyali Childrens Hospital (Likoni),None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,4,0,Mombasa,Likoni,Likoni,Timbwani,Operational,None,No
19064,Elim Dental Clinic,Elim Dental Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Closed,None,No
19063,Meru X-Ray Services,Meru X-Ray Services,None,Level 2,Radiology Clinic,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,None,No
